Zip/Postal Code,Website,Converted,Population Density,Population
48910,https://simplemaps.com/us-zips/48910,FALSE,,
49007,https://simplemaps.com/us-zips/49007,FALSE,,
49202,https://simplemaps.com/us-zips/49202,FALSE,,
49203,https://simplemaps.com/us-zips/49203,FALSE,,
49686,https://simplemaps.com/us-zips/49686,FALSE,,
49707,https://simplemaps.com/us-zips/49707,FALSE,,
49801,https://simplemaps.com/us-zips/49801,FALSE,,
49837,https://simplemaps.com/us-zips/49837,FALSE,,
49841,https://simplemaps.com/us-zips/49841,FALSE,,
49854,https://simplemaps.com/us-zips/49854,FALSE,,
49855,https://simplemaps.com/us-zips/49855,FALSE,,
49870,https://simplemaps.com/us-zips/49870,FALSE,,
49911,https://simplemaps.com/us-zips/49911,FALSE,,
49930,https://simplemaps.com/us-zips/49930,FALSE,,
49938,https://simplemaps.com/us-zips/49938,FALSE,,
49946,https://simplemaps.com/us-zips/49946,FALSE,,
49953,https://simplemaps.com/us-zips/49953,FALSE,,
50315,https://simplemaps.com/us-zips/50315,FALSE,,
50324,https://simplemaps.com/us-zips/50324,FALSE,,
53027,https://simplemaps.com/us-zips/53027,FALSE,,
53037,https://simplemaps.com/us-zips/53037,FALSE,,
53066,https://simplemaps.com/us-zips/53066,FALSE,,
53072,https://simplemaps.com/us-zips/53072,FALSE,,
53073,https://simplemaps.com/us-zips/53073,FALSE,,
53074,https://simplemaps.com/us-zips/53074,FALSE,,
53083,https://simplemaps.com/us-zips/53083,FALSE,,
53086,https://simplemaps.com/us-zips/53086,FALSE,,
53090,https://simplemaps.com/us-zips/53090,FALSE,,
53142,https://simplemaps.com/us-zips/53142,FALSE,,
53185,https://simplemaps.com/us-zips/53185,FALSE,,
53189,https://simplemaps.com/us-zips/53189,FALSE,,
53202,https://simplemaps.com/us-zips/53202,FALSE,,
53215,https://simplemaps.com/us-zips/53215,FALSE,,
53223,https://simplemaps.com/us-zips/53223,FALSE,,
53228,https://simplemaps.com/us-zips/53228,FALSE,,
53404,https://simplemaps.com/us-zips/53404,FALSE,,
53511,https://simplemaps.com/us-zips/53511,FALSE,,
53538,https://simplemaps.com/us-zips/53538,FALSE,,
53551,https://simplemaps.com/us-zips/53551,FALSE,,
53566,https://simplemaps.com/us-zips/53566,FALSE,,
53589,https://simplemaps.com/us-zips/53589,FALSE,,
53590,https://simplemaps.com/us-zips/53590,FALSE,,
53597,https://simplemaps.com/us-zips/53597,FALSE,,
53703,https://simplemaps.com/us-zips/53703,FALSE,,
53713,https://simplemaps.com/us-zips/53713,FALSE,,
53719,https://simplemaps.com/us-zips/53719,FALSE,,
53901,https://simplemaps.com/us-zips/53901,FALSE,,
53913,https://simplemaps.com/us-zips/53913,FALSE,,
53916,https://simplemaps.com/us-zips/53916,FALSE,,
53959,https://simplemaps.com/us-zips/53959,FALSE,,
53965,https://simplemaps.com/us-zips/53965,FALSE,,
54129,https://simplemaps.com/us-zips/54129,FALSE,,
54143,https://simplemaps.com/us-zips/54143,FALSE,,
54220,https://simplemaps.com/us-zips/54220,FALSE,,
54302,https://simplemaps.com/us-zips/54302,FALSE,,
54449,https://simplemaps.com/us-zips/54449,FALSE,,
54868,https://simplemaps.com/us-zips/54868,FALSE,,
54901,https://simplemaps.com/us-zips/54901,FALSE,,
54914,https://simplemaps.com/us-zips/54914,FALSE,,
54935,https://simplemaps.com/us-zips/54935,FALSE,,
54956,https://simplemaps.com/us-zips/54956,FALSE,,
55102,https://simplemaps.com/us-zips/55102,FALSE,,
55376,https://simplemaps.com/us-zips/55376,FALSE,,
55407,https://simplemaps.com/us-zips/55407,FALSE,,
57783,https://simplemaps.com/us-zips/57783,FALSE,,
60048,https://simplemaps.com/us-zips/60048,FALSE,,
60101,https://simplemaps.com/us-zips/60101,FALSE,,
60160,https://simplemaps.com/us-zips/60160,FALSE,,
60185,https://simplemaps.com/us-zips/60185,FALSE,,
60462,https://simplemaps.com/us-zips/60462,FALSE,,
60506,https://simplemaps.com/us-zips/60506,FALSE,,
62205,https://simplemaps.com/us-zips/62205,FALSE,,
62208,https://simplemaps.com/us-zips/62208,FALSE,,
63011,https://simplemaps.com/us-zips/63011,FALSE,,
63026,https://simplemaps.com/us-zips/63026,FALSE,,
63031,https://simplemaps.com/us-zips/63031,FALSE,,
63074,https://simplemaps.com/us-zips/63074,FALSE,,
63116,https://simplemaps.com/us-zips/63116,FALSE,,
63125,https://simplemaps.com/us-zips/63125,FALSE,,
63141,https://simplemaps.com/us-zips/63141,FALSE,,
63303,https://simplemaps.com/us-zips/63303,FALSE,,
67337,https://simplemaps.com/us-zips/67337,FALSE,,
68046,https://simplemaps.com/us-zips/68046,FALSE,,
68102,https://simplemaps.com/us-zips/68102,FALSE,,
68134,https://simplemaps.com/us-zips/68134,FALSE,,
68144,https://simplemaps.com/us-zips/68144,FALSE,,
70072,https://simplemaps.com/us-zips/70072,FALSE,,
70360,https://simplemaps.com/us-zips/70360,FALSE,,
70737,https://simplemaps.com/us-zips/70737,FALSE,,
70805,https://simplemaps.com/us-zips/70805,FALSE,,
